#Energy	Time	I.max_1		I.total_1	I.back_1	I.max_2		I.total_2	I.back_2	I.max_3		I.total_3	I.back_3
320	109.802	1.014359	0.4737809	0.4983743	1.014359	0.4915797	0.5291316	0.8045442	0.5182475	0.4719606
323	110.893	1.036103	0.5123413	0.5426728	1.036103	0.5247415	0.5477394	0.8323923	0.5170844	0.4606456
326	111.985	1.142918	0.5239961	0.5407848	1.078829	0.5424034	0.5568144	0.9323404	0.5265891	0.4603935
329	113.077	1.144826	0.5436844	0.5413143	1.144826	0.5604156	0.5481251	0.9460738	0.5374357	0.4901286
332	114.169	1.173437	0.5212925	0.5131859	1.173437	0.5436186	0.5636133	0.7934812	0.5213437	0.49472
335	115.261	1.180303	0.5157048	0.4912974	1.180303	0.5364474	0.5285679	0.8136998	0.5175084	0.4636089
338	116.352	1.145207	0.52448		0.5667139	1.145207	0.5380414	0.5711327	0.8407849	0.5244126	0.4665722
341	117.445	0.9830775	0.5038108	0.5358217	0.9830775	0.5190318	0.5520247	0.8724479	0.5357105	0.4799104
344	118.537	1.041826	0.478691	0.5018816	1.041826	0.4951198	0.4944804	0.8205664	0.5121711	0.4637792
347	119.629	1.000244	0.458928	0.5006593	1.000244	0.4750969	0.5079001	0.8262886	0.5058256	0.45711
350	120.721	1.095614	0.4889394	0.5125864	1.095614	0.4953535	0.5158985	0.8575701	0.5235065	0.489352
353	121.813	1.086459	0.4950935	0.544261	1.086459	0.5065109	0.5588236	1.000626	0.5234759	0.4649849
356	122.905	1.051363	0.460313	0.5096241	1.051363	0.4740857	0.5316409	0.8125553	0.5187142	0.4784594
359	123.998	1.192511	0.4914688	0.5147585	1.192511	0.5064179	0.5742821	1.062807	0.5419232	0.4860958
362	125.09	1.072726	0.4570259	0.4945166	1.072726	0.477064	0.540877	0.8068331	0.4957929	0.4270956
365	126.182	1.155507	0.4494745	0.4770697	1.155507	0.4641511	0.477691	0.7976775	0.5079935	0.464658
368	127.273	1.059374	0.4811836	0.5330307	1.059374	0.485623	0.519158	0.8640553	0.5437523	0.5277727
371	128.365	0.9842219	0.4581271	0.4958324	1.000626	0.471556	0.4864057	0.8182775	0.5063331	0.4380087
374	129.457	0.9865108	0.4767824	0.5086665	0.9949034	0.4896598	0.5104687	0.8342997	0.5361465	0.4820834
377	130.549	1.043352	0.4528302	0.4746757	1.043352	0.4666023	0.4992659	0.8178961	0.5034158	0.4637043
380	131.641	1.036866	0.4905981	0.5393952	1.036866	0.4986738	0.5378379	0.9605701	0.5429212	0.4784049
383	132.732	1.173437	0.4568713	0.5107841	1.173437	0.4728392	0.5353073	0.8625294	0.4964605	0.4319118
386	133.825	1.058992	0.4977028	0.5242527	1.058992	0.5114763	0.5454972	0.9102145	0.5223587	0.4325999
389	134.918	1.197088	0.5140041	0.5476632	1.197088	0.5303056	0.5397919	0.829722	0.5171644	0.4747944
392	136.01	1.406522	0.5529649	0.535121	1.406522	0.574212	0.5253253	0.8762627	0.5163503	0.4608704
395	137.102	1.651051	0.6214059	0.58042		1.651051	0.645334	0.6188433	0.8911405	0.5372229	0.5154222
398	138.194	1.798303	0.6336856	0.5727281	1.798303	0.6719891	0.6171606	0.8560442	0.5148466	0.4452841
401	139.287	2.264473	0.6625567	0.579622	2.264473	0.7000585	0.5641813	0.9178442	0.5099333	0.4689292
404	140.379	2.740944	0.7236832	0.5986922	2.740944	0.7700506	0.5942038	0.8735923	0.5179325	0.4586973
